InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
1x-H100_SXM-128,H100 SXM,1,128,79.6474609375,2.47,"Czechia, CZ","{'Gpus': [{'Name': 'H100 SXM', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 81559}}], 'TotalGpuMemoryInMiB': 81559}",2.47
2x-RTX_4090-128,RTX 4090,2,128,47.9765625,0.88,"Missouri, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.88
1x-RTX_3090-32,RTX 3090,1,32,24.0,0.17,"British Columbia, CA","{'Gpus': [{'Name': 'RTX 3090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",0.17
2x-RTX_4090-64,RTX 4090,2,64,47.9765625,0.64,"Oregon, US","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.64
1x-RTX_4090-128,RTX 4090,1,128,23.98828125,0.43,"Japan, JP","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.43
4x-RTX_3090-96,RTX 3090,4,96,96.0,0.64,"Quebec, CA","{'Gpus': [{'Name': 'RTX 3090', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",0.64
2x-RTX_4090-256,RTX 4090,2,256,47.9765625,0.67,"Taiwan, TW","{'Gpus': [{'Name': 'RTX 4090', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 49128}}], 'TotalGpuMemoryInMiB': 49128}",0.67
2x-RTX_A4000-88,RTX A4000,2,88,31.984375,0.19,"Washington, US","{'Gpus': [{'Name': 'RTX A4000', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 32752}}], 'TotalGpuMemoryInMiB': 32752}",0.19
1x-H100_NVL-64,H100 NVL,1,64,93.583984375,2.80,"California, US","{'Gpus': [{'Name': 'H100 NVL', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 95830}}], 'TotalGpuMemoryInMiB': 95830}",2.80
1x-RTX_4090-12,RTX 4090,1,12,23.98828125,0.30,"Ontario, CA","{'Gpus': [{'Name': 'RTX 4090', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 24564}}], 'TotalGpuMemoryInMiB': 24564}",0.30
