InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
crusoe_L40Sx4,L40S,4.0,32.0,588,5.8,culpeper-usa-1,"{'Gpus': [{'Name': 'L40S', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 192}]}",
hyperstack_L40,L40,1.0,28.0,58,1.0,montreal-canada-2,"{'Gpus': [{'Name': 'L40', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
massedcompute_A6000-base,A6000,1.0,6.0,24,0.57,kansascity-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
massedcompute_A6000-basex2,A6000,2.0,14.0,48,1.14,kansascity-usa-1,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_RTX6000Adax4,RTX6000Ada,4.0,52.0,320,3.88,desmoines-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 192}]}",
massedcompute_RTX6000Adax4,RTX6000Ada,4.0,52.0,320,3.88,kansascity-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 192}]}",
massedcompute_RTX6000Adax2,RTX6000Ada,2.0,26.0,160,1.94,kansascity-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_RTX6000Adax2,RTX6000Ada,2.0,26.0,160,1.94,desmoines-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_RTX6000Ada,RTX6000Ada,1.0,12.0,80,0.97,desmoines-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
massedcompute_RTX6000Ada,RTX6000Ada,1.0,12.0,80,0.97,kansascity-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 48}]}",
denvr_A100-sxm4,A100,1.0,14.0,117,1.4,calgary-canada-1,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 40}, 'TotalGpuMemoryInMiB': 40}]}",
massedcompute_A100-sxm4-80GBx8,A100-80GB,8.0,126.0,1500,10.24,desmoines-usa-1,"{'Gpus': [{'Name': 'A100-80GB', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 640}]}",
massedcompute_RTX6000Adax8,RTX6000Ada,8.0,104.0,640,7.76,kansascity-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 384}]}",
massedcompute_RTX6000Adax8,RTX6000Ada,8.0,104.0,640,7.76,desmoines-usa-1,"{'Gpus': [{'Name': 'RTX6000Ada', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 384}]}",
massedcompute_L40x2,L40,2.0,50.0,384,1.98,desmoines-usa-1,"{'Gpus': [{'Name': 'L40', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 48}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_RTXPro6000,RTXPro6000,1.0,16.0,192,1.79,beltsville-usa-1,"{'Gpus': [{'Name': 'RTXPro6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 96}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_RTXPro6000,RTXPro6000,1.0,16.0,192,1.79,kansascity-usa-6,"{'Gpus': [{'Name': 'RTXPro6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 96}, 'TotalGpuMemoryInMiB': 96}]}",
massedcompute_RTXPro6000x2,RTXPro6000,2.0,30.0,382,3.58,kansascity-usa-6,"{'Gpus': [{'Name': 'RTXPro6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 96}, 'TotalGpuMemoryInMiB': 192}]}",
massedcompute_RTXPro6000x2,RTXPro6000,2.0,30.0,382,3.58,beltsville-usa-1,"{'Gpus': [{'Name': 'RTXPro6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 96}, 'TotalGpuMemoryInMiB': 192}]}",
verda_H200,H200,1.0,44.0,185,3.8,helsinki-finland-2,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 141}, 'TotalGpuMemoryInMiB': 141}]}",
verda_H200,H200,1.0,44.0,185,3.8,helsinki-finland-5,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 141}, 'TotalGpuMemoryInMiB': 141}]}",
verda_B300x8,B300,8.0,240.0,2200,57.56,helsinki-finland-5,"{'Gpus': [{'Name': 'B300', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 288}, 'TotalGpuMemoryInMiB': 2304}]}",
verda_B300x4,B300,4.0,120.0,1100,29.2,helsinki-finland-5,"{'Gpus': [{'Name': 'B300', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 288}, 'TotalGpuMemoryInMiB': 1152}]}",
verda_H200x8,H200,8.0,176.0,1450,28.77,helsinki-finland-5,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 141}, 'TotalGpuMemoryInMiB': 1128}]}",
verda_B300x2,B300,2.0,60.0,550,14.8,helsinki-finland-5,"{'Gpus': [{'Name': 'B300', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 288}, 'TotalGpuMemoryInMiB': 576}]}",
scaleway_H100,H100,1.0,24.0,240,3.3,paris-france-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 80}]}",
scaleway_H100,H100,1.0,24.0,240,3.3,warsaw-poland-1,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 80}, 'TotalGpuMemoryInMiB': 80}]}",
