InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Arch,LocalDiskType,NVMeSupported,LocalDiskSize,LocalDiskCount
c1.xlarge,,,8.0,7.0,,0.592,0.282600,eu-west-1,euw1-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.592,0.264400,eu-west-1,euw1-az2,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.592,0.262000,eu-west-1,euw1-az3,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.346200,us-east-1,use1-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.196300,us-east-1,use1-az2,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.230700,us-east-1,use1-az4,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.189000,us-east-1,use1-az6,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.592,0.139300,us-west-1,usw1-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.592,0.161600,us-west-1,usw1-az3,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.205100,us-west-2,usw2-az1,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.217600,us-west-2,usw2-az2,x86_64,hdd,False,420.0,4.0
c1.xlarge,,,8.0,7.0,,0.52,0.199700,us-west-2,usw2-az3,x86_64,hdd,False,420.0,4.0
c3.2xlarge,,,8.0,15.0,,0.511,0.189800,ap-northeast-1,apne1-az1,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.511,0.205800,ap-northeast-1,apne1-az4,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.529,0.257900,ap-southeast-1,apse1-az1,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.529,0.278000,ap-southeast-1,apse1-az2,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.529,0.275500,ap-southeast-2,apse2-az1,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.529,0.218100,ap-southeast-2,apse2-az2,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.529,0.297000,ap-southeast-2,apse2-az3,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.516,0.259900,eu-central-1,euc1-az2,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.516,0.239500,eu-central-1,euc1-az3,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.478,0.238600,eu-west-1,euw1-az1,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.478,0.254700,eu-west-1,euw1-az2,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.478,0.232900,eu-west-1,euw1-az3,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.242500,us-east-1,use1-az2,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.147600,us-east-1,use1-az3,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.228200,us-east-1,use1-az4,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.228400,us-east-1,use1-az6,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.478,0.177900,us-west-1,usw1-az1,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.478,0.201100,us-west-1,usw1-az3,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.212200,us-west-2,usw2-az1,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.216400,us-west-2,usw2-az2,x86_64,ssd,False,80.0,2.0
c3.2xlarge,,,8.0,15.0,,0.42,0.234900,us-west-2,usw2-az3,x86_64,ssd,False,80.0,2.0
c3.4xlarge,,,16.0,30.0,,1.021,0.418600,ap-northeast-1,apne1-az1,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.021,0.437600,ap-northeast-1,apne1-az4,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.058,0.533200,ap-southeast-1,apse1-az1,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.058,0.402000,ap-southeast-1,apse1-az2,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.058,0.451700,ap-southeast-2,apse2-az1,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.058,0.464300,ap-southeast-2,apse2-az2,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.058,0.412400,ap-southeast-2,apse2-az3,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.032,0.516900,eu-central-1,euc1-az2,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,1.032,0.535800,eu-central-1,euc1-az3,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.956,0.396100,eu-west-1,euw1-az1,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.956,0.397100,eu-west-1,euw1-az2,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.956,0.394100,eu-west-1,euw1-az3,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.606600,us-east-1,use1-az2,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.363000,us-east-1,use1-az3,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.588700,us-east-1,use1-az4,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.607800,us-east-1,use1-az6,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.956,0.337900,us-west-1,usw1-az1,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.956,0.372800,us-west-1,usw1-az3,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.601700,us-west-2,usw2-az1,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.574300,us-west-2,usw2-az2,x86_64,ssd,False,160.0,2.0
c3.4xlarge,,,16.0,30.0,,0.84,0.654300,us-west-2,usw2-az3,x86_64,ssd,False,160.0,2.0
c3.8xlarge,,,32.0,60.0,,2.043,0.723300,ap-northeast-1,apne1-az1,x86_64,ssd,False,320.0,2.0
