InstanceType,UpstreamCloudId,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
nebius__8xH200_141GB__128__1600,gpu-h200-sxm_8gpu-128vcpu-1600gb,128.0,1600,H200,8.0,"{""Gpus"":[{""Name"":""H200"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":1155072}}],""TotalGpuMemoryInMiB"":9240576}",US,us-central1,21.344,
nebius__1xH200_141GB__16__200,gpu-h200-sxm_1gpu-16vcpu-200gb,16.0,200,H200,1.0,"{""Gpus"":[{""Name"":""H200"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":144384}}],""TotalGpuMemoryInMiB"":144384}",FR,eu-west1,2.668,
nebius__8xH200_141GB__128__1600,gpu-h200-sxm_8gpu-128vcpu-1600gb,128.0,1600,H200,8.0,"{""Gpus"":[{""Name"":""H200"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":1155072}}],""TotalGpuMemoryInMiB"":9240576}",FR,eu-west1,21.344,
nebius__1xH200_141GB__16__200,gpu-h200-sxm_1gpu-16vcpu-200gb,16.0,200,H200,1.0,"{""Gpus"":[{""Name"":""H200"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":144384}}],""TotalGpuMemoryInMiB"":144384}",FI,eu-north1,2.668,
dc_wildebeest__1xH200_141GB__16__200,gpu-h200-sxm_1gpu-16vcpu-200gb,16.0,200,H200,1.0,"{""Gpus"":[{""Name"":""H200"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":144384}}],""TotalGpuMemoryInMiB"":144384}",US,us-central1,2.99,
dc_wildebeest__8xH200_141GB__128__1600,gpu-h200-sxm_8gpu-128vcpu-1600gb,128.0,1600,H200,8.0,"{""Gpus"":[{""Name"":""H200"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":1155072}}],""TotalGpuMemoryInMiB"":9240576}",US,us-central1,23.92,
dc_wildebeest__1xH200_141GB__16__200,gpu-h200-sxm_1gpu-16vcpu-200gb,16.0,200,H200,1.0,"{""Gpus"":[{""Name"":""H200"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":144384}}],""TotalGpuMemoryInMiB"":144384}",FR,eu-west1,2.99,
dc_wildebeest__8xH200_141GB__128__1600,gpu-h200-sxm_8gpu-128vcpu-1600gb,128.0,1600,H200,8.0,"{""Gpus"":[{""Name"":""H200"",""Count"":8,""MemoryInfo"":{""SizeInMiB"":1155072}}],""TotalGpuMemoryInMiB"":9240576}",FR,eu-west1,23.92,
dc_wildebeest__1xH200_141GB__16__200,gpu-h200-sxm_1gpu-16vcpu-200gb,16.0,200,H200,1.0,"{""Gpus"":[{""Name"":""H200"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":144384}}],""TotalGpuMemoryInMiB"":144384}",FI,eu-north1,2.99,
hyperstack__1xL40_48GB__28__58,n3-L40x1,28.0,58,L40,1.0,"{""Gpus"":[{""Name"":""L40"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":49152}}],""TotalGpuMemoryInMiB"":49152}",CA,CANADA-1,1.0,
