Tag,Region,OS,OSVersion,ImageId,CreationDate,BaseImageId
skypilot:custom-gpu-ubuntu,me-central-1,ubuntu,22.04,ami-0856eef6a45eadc89,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,me-south-1,ubuntu,22.04,ami-0d932968f5356cd40,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,us-east-1,ubuntu,22.04,ami-0c3bc6c2c633f3dd3,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,us-east-2,ubuntu,22.04,ami-08f5e57c3bbc39289,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,us-west-1,ubuntu,22.04,ami-08d7f26966f4cd8b5,20241104,ami-005fc0f236362e99f
skypilot:custom-gpu-ubuntu,us-west-2,ubuntu,22.04,ami-0c3369c317f5a7dce,20241104,ami-005fc0f236362e99f
skypilot:gpu-ubuntu-1804,af-south-1,ubuntu,18.04,ami-0410fd3176edff923,20221114,
skypilot:gpu-ubuntu-1804,ap-east-1,ubuntu,18.04,ami-0f90429458fd28381,20221114,
skypilot:gpu-ubuntu-1804,ap-northeast-1,ubuntu,18.04,ami-0a243bfc09e1af2dd,20221114,
skypilot:gpu-ubuntu-1804,ap-northeast-2,ubuntu,18.04,ami-09068c32e90de3fe5,20221114,
skypilot:gpu-ubuntu-1804,ap-northeast-3,ubuntu,18.04,ami-01f77e31bbaf7da99,20221114,
skypilot:gpu-ubuntu-1804,ap-south-1,ubuntu,18.04,ami-00d4f395203e8664c,20221114,
skypilot:gpu-ubuntu-1804,ap-southeast-1,ubuntu,18.04,ami-039e9fe87889a26aa,20221114,
skypilot:gpu-ubuntu-1804,ap-southeast-2,ubuntu,18.04,ami-0d399ac952cd82df2,20221114,
skypilot:gpu-ubuntu-1804,ap-southeast-3,ubuntu,18.04,ami-055905796513f39a4,20221114,
skypilot:gpu-ubuntu-1804,ca-central-1,ubuntu,18.04,ami-039ee36db032bb105,20221114,
skypilot:gpu-ubuntu-1804,eu-central-1,ubuntu,18.04,ami-0679cfc43e2f826b7,20221114,
skypilot:gpu-ubuntu-1804,eu-north-1,ubuntu,18.04,ami-0fa7961662d57f497,20221114,
skypilot:gpu-ubuntu-1804,eu-south-1,ubuntu,18.04,ami-0541142722333c9a7,20221114,
skypilot:gpu-ubuntu-1804,eu-west-1,ubuntu,18.04,ami-0f531d201ab7473d1,20221114,
