InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice,Provider,OperatingSystem,SpheronInstanceType
L40x2_668d6762247d03149a4c9474_montreal-canada-2,L40_PCIE,2.0,60.0,116.0,2.64,montreal-canada-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
L40_668d6762247d03149a4c947b_desmoines-usa-1,L40_PCIE,1.0,26.0,192.0,1.3068,desmoines-usa-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40_668d6762247d03149a4c947b_kansascity-usa-1,L40_PCIE,1.0,26.0,192.0,1.3068,kansascity-usa-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.6_shade_os,DEDICATED
L40_668d6762247d03149a4c9474_montreal-canada-2,L40_PCIE,1.0,28.0,58.0,1.32,montreal-canada-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
gpu_1x_l40_us-central-3,L40_PCIE,1.0,14.0,72.0,0.756,us-central-3,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_1x_l40_us-central-2,L40_PCIE,1.0,14.0,72.0,0.756,us-central-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_2x_l40_us-central-3,L40_PCIE,2.0,26.0,144.0,1.512,us-central-3,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_2x_l40_us-central-2,L40_PCIE,2.0,26.0,144.0,1.512,us-central-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
gpu_4x_l40_us-central-2,L40_PCIE,4.0,50.0,288.0,3.024,us-central-2,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,massed-compute,Ubuntu Server 22.04,DEDICATED
n3-L40x1__CANADA-1,L40_PCIE,1.0,28.0,58.0,1.0631,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x1-bigroot__CANADA-1,L40_PCIE,1.0,28.0,58.0,1.0631,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 49152}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x2__CANADA-1,L40_PCIE,2.0,60.0,116.0,2.1191,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x2-bigroot__CANADA-1,L40_PCIE,2.0,60.0,116.0,2.1191,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 98304}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x4__CANADA-1,L40_PCIE,4.0,124.0,232.0,4.2311,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x4-bigroot__CANADA-1,L40_PCIE,4.0,124.0,232.0,4.2311,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 196608}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x8__CANADA-1,L40_PCIE,8.0,252.0,464.0,8.4551,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
n3-L40x8-bigroot__CANADA-1,L40_PCIE,8.0,252.0,464.0,8.4551,CANADA-1,"{""Gpus"": [{""Name"": ""L40_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 49152}, ""TotalGpuMemoryInMiB"": 393216}]}",,spheron-ai,Ubuntu Server 22.04 LTS R570 CUDA 12.8 with Docker,DEDICATED
RTXPro6000x8_668d6762247d03149a4c9468_TYO4,RTXPRO6000_PCIE_BAREMETAL,8.0,192.0,1511.0,16.896,TYO4,"{""Gpus"": [{""Name"": ""RTXPRO6000_PCIE_BAREMETAL"", ""Manufacturer"": ""NVIDIA"", ""Count"": 8.0, ""MemoryInfo"": {""SizeInMiB"": 98304}, ""TotalGpuMemoryInMiB"": 786432}]}",,sesterce,ubuntu24.04_cuda12.4_shade_os,DEDICATED
