InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice,Provider,OperatingSystem,SpheronInstanceType
V100_32Gx4_668d6762247d03149a4c946f_newyork-usa-1,V100_32G_PCIE,4.0,32.0,120.0,12.3552,newyork-usa-1,"{""Gpus"": [{""Name"": ""V100_32G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 131072}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
V100_32Gx2_668d6762247d03149a4c946f_newyork-usa-1,V100_32G_PCIE,2.0,16.0,60.0,6.1776,newyork-usa-1,"{""Gpus"": [{""Name"": ""V100_32G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
V100_32G_668d6762247d03149a4c946f_newyork-usa-1,V100_32G_PCIE,1.0,8.0,30.0,3.0888,newyork-usa-1,"{""Gpus"": [{""Name"": ""V100_32G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
V100_668d6762247d03149a4c946f_newyork-usa-1,V100_32G_PCIE,1.0,8.0,30.0,3.0888,newyork-usa-1,"{""Gpus"": [{""Name"": ""V100_32G_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 32768}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A5000x4_668d6762247d03149a4c946f_newyork-usa-1,A5000_PCIE,4.0,32.0,180.0,7.4976,newyork-usa-1,"{""Gpus"": [{""Name"": ""A5000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 24576}, ""TotalGpuMemoryInMiB"": 98304}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A5000x2_668d6762247d03149a4c946f_newyork-usa-1,A5000_PCIE,2.0,16.0,90.0,3.7488,newyork-usa-1,"{""Gpus"": [{""Name"": ""A5000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 24576}, ""TotalGpuMemoryInMiB"": 49152}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A5000_668d6762247d03149a4c946f_newyork-usa-1,A5000_PCIE,1.0,8.0,45.0,1.8744,newyork-usa-1,"{""Gpus"": [{""Name"": ""A5000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 1.0, ""MemoryInfo"": {""SizeInMiB"": 24576}, ""TotalGpuMemoryInMiB"": 24576}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A4000x4_668d6762247d03149a4c9474_oslo-norway-1,A4000_PCIE,4.0,16.0,86.0,0.792,oslo-norway-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
A4000x4_668d6762247d03149a4c946f_newyork-usa-1,A4000_PCIE,4.0,32.0,180.0,4.224,newyork-usa-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 4.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 65536}]}",,sesterce,ubuntu22.04_cuda12.2_shade_os,DEDICATED
A4000x2_668d6762247d03149a4c9474_oslo-norway-1,A4000_PCIE,2.0,8.0,43.0,0.396,oslo-norway-1,"{""Gpus"": [{""Name"": ""A4000_PCIE"", ""Manufacturer"": ""NVIDIA"", ""Count"": 2.0, ""MemoryInfo"": {""SizeInMiB"": 16384}, ""TotalGpuMemoryInMiB"": 32768}]}",,sesterce,ubuntu22.04_cuda12.8_shade_os,DEDICATED
