InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
n2d-highcpu-32,32.0,32.0,,,,us-west2,us-west2-b,1.19875,0.48246
n2d-highcpu-32,32.0,32.0,,,,us-west2,us-west2-c,1.19875,0.48246
n2d-highcpu-32,32.0,32.0,,,,us-west3,us-west3-a,1.19875,0.28605
n2d-highcpu-32,32.0,32.0,,,,us-west3,us-west3-b,1.19875,0.28605
n2d-highcpu-32,32.0,32.0,,,,us-west3,us-west3-c,1.19875,0.28605
n2d-highcpu-32,32.0,32.0,,,,us-west4,us-west4-a,1.12406,0.23046
n2d-highcpu-32,32.0,32.0,,,,us-west4,us-west4-b,1.12406,0.23046
n2d-highcpu-32,32.0,32.0,,,,us-west4,us-west4-c,1.12406,0.23046
n2d-highcpu-4,4.0,4.0,,,,africa-south1,africa-south1-a,0.13723,0.05753
n2d-highcpu-4,4.0,4.0,,,,africa-south1,africa-south1-b,0.13723,0.05753
n2d-highcpu-4,4.0,4.0,,,,africa-south1,africa-south1-c,0.13723,0.05753
n2d-highcpu-4,4.0,4.0,,,,asia-east1,asia-east1-a,0.14445,0.07221
n2d-highcpu-4,4.0,4.0,,,,asia-east1,asia-east1-b,0.14445,0.07221
n2d-highcpu-4,4.0,4.0,,,,asia-east1,asia-east1-c,0.14445,0.07221
n2d-highcpu-4,4.0,4.0,,,,asia-east2,asia-east2-a,0.17455,0.05031
n2d-highcpu-4,4.0,4.0,,,,asia-east2,asia-east2-b,0.17455,0.05031
n2d-highcpu-4,4.0,4.0,,,,asia-east2,asia-east2-c,0.17455,0.05031
n2d-highcpu-4,4.0,4.0,,,,asia-northeast1,asia-northeast1-a,0.16021,0.0587
n2d-highcpu-4,4.0,4.0,,,,asia-northeast1,asia-northeast1-b,0.16021,0.0587
n2d-highcpu-4,4.0,4.0,,,,asia-northeast1,asia-northeast1-c,0.16021,0.0587
n2d-highcpu-4,4.0,4.0,,,,asia-northeast2,asia-northeast2-a,0.16021,0.02136
n2d-highcpu-4,4.0,4.0,,,,asia-northeast2,asia-northeast2-b,0.16021,0.02136
n2d-highcpu-4,4.0,4.0,,,,asia-northeast2,asia-northeast2-c,0.16021,0.02136
n2d-highcpu-4,4.0,4.0,,,,asia-northeast3,asia-northeast3-a,0.16021,0.0246
n2d-highcpu-4,4.0,4.0,,,,asia-northeast3,asia-northeast3-b,0.16021,0.0246
n2d-highcpu-4,4.0,4.0,,,,asia-northeast3,asia-northeast3-c,0.16021,0.0246
n2d-highcpu-4,4.0,4.0,,,,asia-south1,asia-south1-a,0.08234,0.04117
n2d-highcpu-4,4.0,4.0,,,,asia-south1,asia-south1-b,0.08234,0.04117
n2d-highcpu-4,4.0,4.0,,,,asia-south1,asia-south1-c,0.08234,0.04117
n2d-highcpu-4,4.0,4.0,,,,asia-south2,asia-south2-a,0.14984,0.06825
